name,age,created_at,profile,tags
Allison Hill,58,2024-07-07 00:30:51,"{""user"": {""details"": {""contact"": {""email"": ""rhodespatricia@garza.com"", ""phone"": ""338-908-3863"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""2000-07-27T03:37:57""}, {""action"": ""purchase"", ""timestamp"": ""2010-02-06T06:40:22""}]}}}}}","[""beta""]"
Sean Blake,24,2024-06-12 08:10:19,"{""user"": {""details"": {""contact"": {""email"": ""joshua35@gmail.com"", ""phone"": ""615-594-0781"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1995-10-05T12:33:13""}]}}}}}","[""guest""]"
Edward Fuller,56,2025-03-21 05:02:52,"{""user"": {""details"": {""contact"": {""email"": ""janetwilliams@gmail.com"", ""phone"": ""001-413-164-7525x53419"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2013-03-18T11:18:09""}, {""action"": ""purchase"", ""timestamp"": ""1981-08-24T16:10:40""}, {""action"": ""logout"", ""timestamp"": ""2006-05-08T02:50:43""}]}}}}}","[""user"", ""admin"", ""tester""]"
Carla Gray,62,2025-04-05 17:18:37,"{""user"": {""details"": {""contact"": {""email"": ""megan03@trujillo.com"", ""phone"": ""395-376-7242"", ""preferences"": {""notifications"": false, ""themes"": [""dark"", ""light""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1986-10-13T23:02:20""}]}}}}}","[""admin""]"
Kimberly Burgess,42,2024-09-24 17:19:55,"{""user"": {""details"": {""contact"": {""email"": ""jeffrey28@yahoo.com"", ""phone"": ""012-269-1669"", ""preferences"": {""notifications"": true, ""themes"": [""dark"", ""solarized""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2001-11-07T10:37:53""}]}}}}}","[""admin"", ""subscriber"", ""early_access""]"
Tricia Valencia,53,2024-04-15 19:03:01,"{""user"": {""details"": {""contact"": {""email"": ""kayla51@graham-chavez.com"", ""phone"": ""281.489.3252x88095"", ""preferences"": {""notifications"": false, ""themes"": [""solarized"", ""light""], ""history"": [{""action"": ""login"", ""timestamp"": ""2003-04-02T08:39:30""}, {""action"": ""login"", ""timestamp"": ""1971-04-30T02:19:45""}, {""action"": ""purchase"", ""timestamp"": ""1977-08-12T11:41:49""}]}}}}}","[""admin"", ""tester""]"
Sherry Decker,24,2024-08-08 18:16:43,"{""user"": {""details"": {""contact"": {""email"": ""allenashley@miller.com"", ""phone"": ""001-822-782-4896x38346"", ""preferences"": {""notifications"": false, ""themes"": [""dark"", ""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2015-09-16T20:52:44""}]}}}}}","[""tester"", ""beta""]"
Jessica Holmes,35,2024-05-28 07:52:49,"{""user"": {""details"": {""contact"": {""email"": ""calebsmith@hall.com"", ""phone"": ""105.183.4738"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1979-01-02T15:05:27""}, {""action"": ""purchase"", ""timestamp"": ""2019-03-24T00:36:37""}, {""action"": ""logout"", ""timestamp"": ""2008-11-10T08:28:29""}]}}}}}","[""user"", ""beta""]"
Dana Kennedy,62,2024-09-16 10:06:47,"{""user"": {""details"": {""contact"": {""email"": ""davisryan@jenkins-shields.com"", ""phone"": ""+1-106-513-3387x26247"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1986-12-31T23:21:03""}]}}}}}","[""user"", ""admin""]"
Angela Morton,31,2025-03-09 18:13:44,"{""user"": {""details"": {""contact"": {""email"": ""pearsonamber@novak.com"", ""phone"": ""(773)602-6064x74687"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1980-07-14T11:54:19""}, {""action"": ""logout"", ""timestamp"": ""1982-12-03T22:29:26""}]}}}}}","[""user""]"
